Notes,County,County Code,Year,Year Code,Month,Month Code,MCD_Drug_Cause,MCD - Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Month_Date
,"Jackson County, MO",29095.0,2018,2018.0,10,2018/10,All other drug-induced causes,D9,92.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-10-01
,"Jackson County, MO",29095.0,2018,2018.0,10,2018/10,All other alcohol-induced causes,A9,13.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-10-01
,"Jackson County, MO",29095.0,2018,2018.0,10,2018/10,All other non-drug and non-alcohol causes,O9,525.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-10-01
,"Jackson County, MO",29095.0,2018,2018.0,11,2018/11,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-11-01
,"Jackson County, MO",29095.0,2018,2018.0,11,2018/11,All other drug-induced causes,D9,96.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-11-01
,"Jackson County, MO",29095.0,2018,2018.0,11,2018/11,All other alcohol-induced causes,A9,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-11-01
,"Jackson County, MO",29095.0,2018,2018.0,11,2018/11,All other non-drug and non-alcohol causes,O9,536.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-11-01
,"Jackson County, MO",29095.0,2018,2018.0,12,2018/12,All other drug-induced causes,D9,93.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-12-01
,"Jackson County, MO",29095.0,2018,2018.0,12,2018/12,All other alcohol-induced causes,A9,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-12-01
,"Jackson County, MO",29095.0,2018,2018.0,12,2018/12,All other non-drug and non-alcohol causes,O9,552.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2018-12-01
,"Jackson County, MO",29095.0,2019,2019.0,1,2019/01,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-01-01
,"Jackson County, MO",29095.0,2019,2019.0,1,2019/01,All other drug-induced causes,D9,95.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-01-01
,"Jackson County, MO",29095.0,2019,2019.0,1,2019/01,All other non-drug and non-alcohol causes,O9,585.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-01-01
,"Jackson County, MO",29095.0,2019,2019.0,2,2019/02,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-02-01
,"Jackson County, MO",29095.0,2019,2019.0,2,2019/02,All other drug-induced causes,D9,72.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-02-01
,"Jackson County, MO",29095.0,2019,2019.0,2,2019/02,All other non-drug and non-alcohol causes,O9,510.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-02-01
,"Jackson County, MO",29095.0,2019,2019.0,3,2019/03,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-03-01
,"Jackson County, MO",29095.0,2019,2019.0,3,2019/03,All other drug-induced causes,D9,104.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-03-01
,"Jackson County, MO",29095.0,2019,2019.0,3,2019/03,All other alcohol-induced causes,A9,16.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-03-01
,"Jackson County, MO",29095.0,2019,2019.0,3,2019/03,All other non-drug and non-alcohol causes,O9,597.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-03-01
,"Jackson County, MO",29095.0,2019,2019.0,4,2019/04,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-04-01
,"Jackson County, MO",29095.0,2019,2019.0,4,2019/04,All other drug-induced causes,D9,74.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-04-01
,"Jackson County, MO",29095.0,2019,2019.0,4,2019/04,All other alcohol-induced causes,A9,10.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2019-04-01
