"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"All other alcohol-induced causes"	"A9"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"All other non-drug and non-alcohol causes"	"O9"	741	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"All other drug-induced causes"	"D9"	98	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"All other alcohol-induced causes"	"A9"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"All other non-drug and non-alcohol causes"	"O9"	765	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"All other drug-induced causes"	"D9"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"All other alcohol-induced causes"	"A9"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"All other non-drug and non-alcohol causes"	"O9"	615	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"All other drug-induced causes"	"D9"	92	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"All other alcohol-induced causes"	"A9"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"All other non-drug and non-alcohol causes"	"O9"	598	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"All other drug-induced causes"	"D9"	77	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"All other alcohol-induced causes"	"A9"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"All other non-drug and non-alcohol causes"	"O9"	580	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"May, 2021"	"2021/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"May, 2021"	"2021/05"	"All other drug-induced causes"	"D9"	85	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"May, 2021"	"2021/05"	"All other alcohol-induced causes"	"A9"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"May, 2021"	"2021/05"	"All other non-drug and non-alcohol causes"	"O9"	582	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"All other drug-induced causes"	"D9"	89	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"All other alcohol-induced causes"	"A9"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"All other non-drug and non-alcohol causes"	"O9"	546	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"All other drug-induced causes"	"D9"	97	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"All other alcohol-induced causes"	"A9"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"All other non-drug and non-alcohol causes"	"O9"	598	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"All other drug-induced causes"	"D9"	110	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"All other alcohol-induced causes"	"A9"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"All other non-drug and non-alcohol causes"	"O9"	785	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"All other drug-induced causes"	"D9"	101	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"All other alcohol-induced causes"	"A9"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"All other non-drug and non-alcohol causes"	"O9"	723	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"All other drug-induced causes"	"D9"	101	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"All other alcohol-induced causes"	"A9"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"All other non-drug and non-alcohol causes"	"O9"	647	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"All other drug-induced causes"	"D9"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"All other alcohol-induced causes"	"A9"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"All other non-drug and non-alcohol causes"	"O9"	593	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"All other drug-induced causes"	"D9"	106	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"All other alcohol-induced causes"	"A9"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"All other non-drug and non-alcohol causes"	"O9"	781	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"All other drug-induced causes"	"D9"	113	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"All other alcohol-induced causes"	"A9"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"All other non-drug and non-alcohol causes"	"O9"	949	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"All other drug-induced causes"	"D9"	118	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"All other alcohol-induced causes"	"A9"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"All other non-drug and non-alcohol causes"	"O9"	685	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"All other drug-induced causes"	"D9"	95	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"All other alcohol-induced causes"	"A9"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"All other non-drug and non-alcohol causes"	"O9"	623	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"All other drug-induced causes"	"D9"	89	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"All other alcohol-induced causes"	"A9"	18	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"All other non-drug and non-alcohol causes"	"O9"	572	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"May, 2022"	"2022/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	24	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"May, 2022"	"2022/05"	"All other drug-induced causes"	"D9"	89	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"May, 2022"	"2022/05"	"All other alcohol-induced causes"	"A9"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"May, 2022"	"2022/05"	"All other non-drug and non-alcohol causes"	"O9"	574	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"All other drug-induced causes"	"D9"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"All other alcohol-induced causes"	"A9"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"All other non-drug and non-alcohol causes"	"O9"	578	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"All other drug-induced causes"	"D9"	81	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"All other alcohol-induced causes"	"A9"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"All other non-drug and non-alcohol causes"	"O9"	550	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	32	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"All other drug-induced causes"	"D9"	110	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"All other alcohol-induced causes"	"A9"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"All other non-drug and non-alcohol causes"	"O9"	586	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"All other drug-induced causes"	"D9"	123	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"All other alcohol-induced causes"	"A9"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"All other non-drug and non-alcohol causes"	"O9"	626	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Oct., 2022"	"2022/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Oct., 2022"	"2022/10"	"All other drug-induced causes"	"D9"	98	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Oct., 2022"	"2022/10"	"All other alcohol-induced causes"	"A9"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Oct., 2022"	"2022/10"	"All other non-drug and non-alcohol causes"	"O9"	606	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Nov., 2022"	"2022/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Nov., 2022"	"2022/11"	"All other drug-induced causes"	"D9"	113	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Nov., 2022"	"2022/11"	"All other alcohol-induced causes"	"A9"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Nov., 2022"	"2022/11"	"All other non-drug and non-alcohol causes"	"O9"	612	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Dec., 2022"	"2022/12"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Dec., 2022"	"2022/12"	"All other drug-induced causes"	"D9"	97	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Dec., 2022"	"2022/12"	"All other alcohol-induced causes"	"A9"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2022"	"2022"	"Dec., 2022"	"2022/12"	"All other non-drug and non-alcohol causes"	"O9"	659	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jan., 2023"	"2023/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jan., 2023"	"2023/01"	"All other drug-induced causes"	"D9"	111	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jan., 2023"	"2023/01"	"All other alcohol-induced causes"	"A9"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jan., 2023"	"2023/01"	"All other non-drug and non-alcohol causes"	"O9"	617	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Feb., 2023"	"2023/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Feb., 2023"	"2023/02"	"All other drug-induced causes"	"D9"	112	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Feb., 2023"	"2023/02"	"All other alcohol-induced causes"	"A9"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Feb., 2023"	"2023/02"	"All other non-drug and non-alcohol causes"	"O9"	594	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Mar., 2023"	"2023/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Mar., 2023"	"2023/03"	"All other drug-induced causes"	"D9"	82	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Mar., 2023"	"2023/03"	"All other alcohol-induced causes"	"A9"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Mar., 2023"	"2023/03"	"All other non-drug and non-alcohol causes"	"O9"	589	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Apr., 2023"	"2023/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Apr., 2023"	"2023/04"	"All other drug-induced causes"	"D9"	106	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Apr., 2023"	"2023/04"	"All other alcohol-induced causes"	"A9"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Apr., 2023"	"2023/04"	"All other non-drug and non-alcohol causes"	"O9"	599	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"May, 2023"	"2023/05"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"May, 2023"	"2023/05"	"All other drug-induced causes"	"D9"	91	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"May, 2023"	"2023/05"	"All other alcohol-induced causes"	"A9"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"May, 2023"	"2023/05"	"All other non-drug and non-alcohol causes"	"O9"	523	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jun., 2023"	"2023/06"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jun., 2023"	"2023/06"	"All other drug-induced causes"	"D9"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jun., 2023"	"2023/06"	"All other alcohol-induced causes"	"A9"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jun., 2023"	"2023/06"	"All other non-drug and non-alcohol causes"	"O9"	565	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jul., 2023"	"2023/07"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jul., 2023"	"2023/07"	"All other drug-induced causes"	"D9"	97	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jul., 2023"	"2023/07"	"All other alcohol-induced causes"	"A9"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Jul., 2023"	"2023/07"	"All other non-drug and non-alcohol causes"	"O9"	529	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Aug., 2023"	"2023/08"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	30	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Aug., 2023"	"2023/08"	"All other drug-induced causes"	"D9"	98	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Aug., 2023"	"2023/08"	"All other alcohol-induced causes"	"A9"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Aug., 2023"	"2023/08"	"All other non-drug and non-alcohol causes"	"O9"	586	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Sep., 2023"	"2023/09"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Sep., 2023"	"2023/09"	"All other drug-induced causes"	"D9"	86	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Sep., 2023"	"2023/09"	"All other alcohol-induced causes"	"A9"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Sep., 2023"	"2023/09"	"All other non-drug and non-alcohol causes"	"O9"	551	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Oct., 2023"	"2023/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	26	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Oct., 2023"	"2023/10"	"All other drug-induced causes"	"D9"	98	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Oct., 2023"	"2023/10"	"All other alcohol-induced causes"	"A9"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Oct., 2023"	"2023/10"	"All other non-drug and non-alcohol causes"	"O9"	592	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Nov., 2023"	"2023/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	25	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Nov., 2023"	"2023/11"	"All other drug-induced causes"	"D9"	90	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Nov., 2023"	"2023/11"	"All other alcohol-induced causes"	"A9"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2023"	"2023"	"Nov., 2023"	"2023/11"	"All other non-drug and non-alcohol causes"	"O9"	562	Not Applicable	Not Applicable	Not Applicable	Not Applicable
