"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"All other alcohol-induced causes"	"A9"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Sep., 2018"	"2018/09"	"All other non-drug and non-alcohol causes"	"O9"	486	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"All other drug-induced causes"	"D9"	92	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"All other alcohol-induced causes"	"A9"	13	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Oct., 2018"	"2018/10"	"All other non-drug and non-alcohol causes"	"O9"	525	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"All other drug-induced causes"	"D9"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"All other alcohol-induced causes"	"A9"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Nov., 2018"	"2018/11"	"All other non-drug and non-alcohol causes"	"O9"	536	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"All other drug-induced causes"	"D9"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"All other alcohol-induced causes"	"A9"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2018"	"2018"	"Dec., 2018"	"2018/12"	"All other non-drug and non-alcohol causes"	"O9"	552	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"All other drug-induced causes"	"D9"	95	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jan., 2019"	"2019/01"	"All other non-drug and non-alcohol causes"	"O9"	585	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"All other drug-induced causes"	"D9"	72	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Feb., 2019"	"2019/02"	"All other non-drug and non-alcohol causes"	"O9"	510	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"All other drug-induced causes"	"D9"	104	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"All other alcohol-induced causes"	"A9"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Mar., 2019"	"2019/03"	"All other non-drug and non-alcohol causes"	"O9"	597	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"All other drug-induced causes"	"D9"	74	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"All other alcohol-induced causes"	"A9"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Apr., 2019"	"2019/04"	"All other non-drug and non-alcohol causes"	"O9"	524	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"May, 2019"	"2019/05"	"All other drug-induced causes"	"D9"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"May, 2019"	"2019/05"	"All other alcohol-induced causes"	"A9"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"May, 2019"	"2019/05"	"All other non-drug and non-alcohol causes"	"O9"	526	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"All other drug-induced causes"	"D9"	80	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"All other alcohol-induced causes"	"A9"	16	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jun., 2019"	"2019/06"	"All other non-drug and non-alcohol causes"	"O9"	490	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"All other drug-induced causes"	"D9"	66	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"All other alcohol-induced causes"	"A9"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Jackson County, MO"	"29095"	"2019"	"2019"	"Jul., 2019"	"2019/07"	"All other non-drug and non-alcohol causes"	"O9"	527	Not Applicable	Not Applicable	Not Applicable	Not Applicable
